Name,Position,Major,Height,Weight,Year,Hometown,Season,Receiving Touchdowns,Rush Longest,Receiving Yards game pct,Rush Touchdowns,Rush Attempts,Rush Rush attempt yards pct,Rush Yards per game avg,Defense Solo,Games Played,Defense Assist,Defense Total,Defense Tfl yards,Defense Forced fumble,Defense Pass defl,Rush Yards,Receiving Recep,Receiving Per game,Receiving Yards comp pct,Receiving Longest,Receiving Yards,Defense Blocked,Defense Interceptions,Games Started,Defense Fumb rec,Defense Sacks yards
Michael Benefield,RB,Psychology,"5'7""",200 lbs,Jr.,"Atlanta, Ga.",2023,0,75,3.0,4,70,6.3,55.1,1,8,0,1,0-0,0,0,441,4,0.5,6.0,15,24,0,0,5,0,0-0
Garland Benyard,LB,Business Management,"6'1""",215 lbs,Jr.,"Ocilla, Ga.",2023,,,,,,,,6,4,13,19,1-1,0,0,,,,,,,0,0,4,0,0-0
Jonathan Murphy,QB,Interdisciplinary Studies,"6'0""",190 lbs,Gr.,"Los Angeles, Calif.",2023,,57,,7,116,3.5,50.1,0,8,0,0,0-0,0,0,401,,,,,,0,0,8,0,0-0
Blake Bohannon,WR,Business Management,"6'1""",200 lbs,Jr.,"Woodstock, Ga.",2023,1,,19.0,,,,,0,8,0,0,0-0,0,0,,7,0.9,21.7,55,152,0,0,8,0,0-0
Tykeem Wallace,WR,Criminal Justice,"5'9""",165 lbs,Jr.,"Thomasville, Ga.",2023,1,14,10.6,0,3,5.3,2.0,3,8,0,3,0-0,0,0,16,5,0.6,17.0,54,85,0,0,0,0,0-0
Isaac Foster,WR,Business Management,"5'10""",175 lbs,Gr.,"Summerville, Ga.",2023,1,15,28.5,0,8,6.8,6.8,1,8,0,1,0-0,0,0,54,19,2.4,12.0,44,228,0,0,7,0,0-0
Gabriel Benyard,RB,Sport Management,"5'10""",185 lbs,Jr.,"Ocilla, Ga.",2023,4,49,83.3,1,18,6.4,29.0,0,4,0,0,0-0,0,0,116,14,3.5,23.8,61,333,0,0,4,0,0-0
Preston Daniels,TE,Sport Management,"5'11""",260 lbs,Sr.,"Sandersville, Ga.",2023,0,20,10.9,1,10,5.4,6.8,0,8,1,1,0-0,0,0,54,8,1.0,10.9,30,87,0,0,4,0,0-0
Davis Bryson,QB,Sport Management,"5'9""",190 lbs,So.,"Woodbridge, Va.",2023,,36,,2,13,10.7,46.3,,3,,,,,,139,,,,,,,,0,,
Sidney Porter,DB,Public Adminstration,"6'0""",215 lbs,Jr.,"Fort Lauderdale, Fla.",2023,,,,,,,,17,6,6,23,0-0,0,1,,,,,,,0,1,3,0,0-0
Jalen Barnum,LB,Integrated Interdisciplinary studies,"6'1""",205 lbs,Sr.,"Jesup, Ga.",2023,,,,,,,,11,7,15,26,1-3,0,2,,,,,,,0,0,2,0,0-0
Nick Sawyer,DB,Business Administration,"5'11""",170 lbs,So.,"Harvest, Ala.",2023,,,,,,,,1,5,3,4,0-0,0,0,,,,,,,0,0,0,0,0-0
Braden Bohannon,QB,Sport Management,"6'1""",180 lbs,So.,"Woodstock, Ga.",2023,,,,,,,,,1,,,,,,,,,,,,,,0,,
Jayven Williams,DB,Education,"6'2""",170 lbs,So.,"Mobile, Ala.",2023,,,,,,,,18,4,5,23,2.5-7,0,3,,,,,,,0,0,4,0,0.5-4
Markeith  Montgomery,DB,Sport Management,"5'10""",190 lbs,Gr.,"Flintstone, Ga.",2023,,,,,,,,29,8,14,43,9.5-32,0,2,,,,,,,0,2,8,0,0-0
Sulaiman Bah,DB,Information Technology,"6'1""",185 lbs,Jr.,"Lilburn, Ga.",2023,,,,,,,,1,7,1,2,0-0,0,0,,,,,,,0,0,0,0,0-0
Yesiah Clemons,RB,Business Administration,"5'10""",215 lbs,Sr.,"Griffin, Ga.",2023,0,14,0.3,0,24,5.3,15.8,3,8,2,5,0-0,0,0,126,2,0.3,1.0,1,2,0,0,0,0,0-0
Cole McCarty,QB,Business,"5'11""",190 lbs,Fr.,"Moody, Ala.",2023,,,,,,,,,1,,,,,,,,,,,,,,0,,
Tyler Hallum,DB,Sports Marketing,"5'11""",180 lbs,Jr.,"Marietta, Ga.",2023,,,,,,,,7,4,4,11,0-0,0,1,,,,,,,0,0,3,0,0-0
Tyriek Johnson,DB,Criminal Justice,"5'8""",185 lbs,Jr.,"Hoschton, Ga.",2023,,,,,,,,,,,,,,,,,,,,,,,,,
Qua Ashley,RB,Integrated Health Science,"5'10""",190 lbs,So.,"Dublin, Ga.",2023,0,11,0.0,0,9,3.6,6.4,1,5,0,1,0-0,0,0,32,0,0.0,0.0,0,0,0,0,0,0,0-0
Que Billingsley,DB,Sport Management,"6'0""",195 lbs,Fr.,"Phenix City, Ala.",2023,,,,,,,,0,1,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Kenai Grier,RB,Exercise Science,"5'9""",200 lbs,Fr.,"Covington, Ga.",2023,,17,,1,2,13.0,26.0,,1,,,,,,26,,,,,,,,0,,
JeRico Washington Jr.,DB,Exercise Science,"5'10""",165 lbs,Fr.,"Atlanta, Ga.",2023,,,,,,,,11,4,4,15,0-0,0,5,,,,,,,0,3,4,0,0-0
David Cole,WR,Business,"6'4""",185 lbs,Fr.,"Ooltewah, Tenn.",2023,,,,,,,,0,2,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Josh Williamson,WR,Business,"5'10""",150 lbs,Fr.,"Snellville, Ga.",2023,0,,2.0,,,,,,3,,,,,,,1,0.3,6.0,6,6,,,2,,
Five Hamilton,DB,Business Entreprenuer,"5'10""",165 lbs,Fr.,"Stockbridge, Ga.",2023,,,,,,,,1,2,0,1,0-0,0,1,,,,,,,0,0,1,0,0-0
Rob Brown,RB,Business,"6'0""",215 lbs,So.,"Trion, Ga.",2023,,7,,0,3,3.7,1.8,1,6,0,1,0-0,0,0,11,,,,,,0,0,0,0,0-0
Isaac Paul,DB,Sport Management,"5'11""",160 lbs,Fr.,"Panama City, Fla.",2023,,,,,,,,4,4,5,9,0-0,0,1,,,,,,,0,0,2,0,0-0
Alexander Diggs,RB,Finance,"5'9""",200 lbs,So.,"Snellville, Ga.",2023,0,20,5.6,0,26,3.6,13.3,1,7,0,1,0-0,0,0,93,3,0.4,13.0,31,39,0,0,1,0,0-0
DJ Scott,RB,Sport Management,"6'1""",200 lbs,Fr.,"Oviedo, Fla.",2023,,11,,1,9,5.9,53.0,,1,,,,,,53,,,,,,,,0,,
Milon Jones,DB,Finance,"5'11""",185 lbs,So.,"Marietta, Ga.",2023,,,,,,,,0,8,0,0,0-0,0,0,,,,,,,0,0,0,0,0-0
Eli Leiataua,TE,Mechanical Engineering,"5'11""",220 lbs,So.,"Hinesville, Ga.",2023,,,,,,,,4,8,4,8,0-0,0,0,,,,,,,0,0,0,0,0-0
Danarius Johnson,DB,Sport Management,"5'11""",190 lbs,So.,"Patterson, Ga.",2023,,,,,,,,,3,,,,,,,,,,,,,,0,,
Markell Redding,DB,Business,"6'0""",190 lbs,Fr.,"Pensacola, Fla.",2023,,,,,,,,0,1,1,1,0-0,0,0,,,,,,,0,0,0,0,0-0
Navelle Dean,WR,Exercise Science,"6'0""",185 lbs,Fr.,"Columbus, Ga.",2023,0,0,0.0,0,0,0.0,0.0,0,2,0,0,0-0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0-0
Donelius Johnson,LB,Exercise Science,"6'0""",230 lbs,So.,"Patterson, Ga.",2023,,,,,,,,20,8,12,32,4-19,2,0,,,,,,,0,0,4,1,2-15
Juandarion Silas,LB,Construction Management,"6'1""",205 lbs,So.,"Athens, Ga.",2023,,,,,,,,8,4,9,17,1-9,0,0,,,,,,,0,0,1,0,1-9
Baron Hopson,LB,Civil Engineering,"6'1""",215 lbs,Jr.,"Leesburg, Ga.",2023,,,,,,,,11,4,13,24,1.5-2,0,1,,,,,,,0,0,4,0,0-0
